country,shipments,severe_delay_rate,average_delay_days,represented_value_usd
Nigeria,927,0.06796116504854369,-11.516720604099245,350272104.87
Côte d'Ivoire,760,0.06315789473684211,-5.427631578947368,120884500.89
Uganda,584,0.06506849315068493,-6.417808219178082,96197336.16
South Africa,581,0.153184165232358,-3.397590361445783,108670145.47
Zambia,540,0.08148148148148149,-4.442592592592592,246988840.41
Vietnam,480,0.004166666666666667,-0.5020833333333333,56974405.86
Haiti,448,0.04017857142857143,-1.8504464285714286,43502785.9
Tanzania,434,0.06682027649769585,-4.629032258064516,129459495.65
Mozambique,404,0.14108910891089108,-1.5742574257425743,182024690.72
Rwanda,377,0.050397877984084884,-5.2838196286472146,71127583.08
Zimbabwe,336,0.09226190476190477,-8.764880952380953,104439960.51
Ethiopia,181,0.03314917127071823,-2.839779005524862,19146998.67
Guyana,165,0.048484848484848485,-8.909090909090908,4251621.47
"Congo, DRC",113,0.18584070796460178,7.256637168141593,5772336.35
Kenya,103,0.05825242718446602,0.9611650485436893,33931560.98
Namibia,84,0.011904761904761904,-0.35714285714285715,5857023.86
South Sudan,72,0.05555555555555555,-1.25,2133156.73
Botswana,68,0.014705882352941176,-2.6323529411764706,1632899.21
Cameroon,63,0.06349206349206349,-0.9523809523809523,14629170.19
Burundi,61,0.14754098360655737,-6.688524590163935,3351580.36
Ghana,45,0.1111111111111111,1.9111111111111112,6453281.1
Sudan,44,0.0,-0.18181818181818182,299338.4
Dominican Republic,35,0.05714285714285714,-7.942857142857143,3146476.79
Swaziland,27,0.0,-4.111111111111111,6165993.85
Mali,15,0.0,0.0,146870.0
Malawi,14,0.0,0.0,5854456.0
Pakistan,9,0.0,0.0,1442540.0
Benin,8,0.25,3.125,787725.48
Guatemala,8,0.125,0.375,655249.12
Angola,7,0.0,0.0,198400.0
Liberia,6,0.0,0.0,102840.0
Libya,4,0.0,-10.25,164366.01
Sierra Leone,4,0.0,0.0,379550.0
Lesotho,4,0.0,0.0,253220.0
Senegal,3,0.0,1.0,8864.0
Togo,3,0.3333333333333333,5.333333333333333,153781.24
Lebanon,3,0.0,0.0,9.36
Afghanistan,2,0.0,0.0,4617.35
Burkina Faso,2,0.0,0.0,451.25
Kyrgyzstan,2,0.0,0.0,79000.0
Kazakhstan,2,0.0,0.0,35000.0
Belize,1,0.0,-14.0,630.0
Guinea,1,0.0,0.0,3600.0
