product_group,country,shipment_count,historical_shipped_quantity,quantity_variability,average_lead_time_days,p90_lead_time_days,lead_time_variability_days,severe_delay_rate,historical_safety_stock_scenario_units,risk_aware_replenishment_trigger
ARV,Benin,5,134245,38666.24546034952,46.0,46.0,,0.4,,Elevated historical variability
ARV,Togo,3,13282,3629.7340582105094,55.0,55.0,,0.3333333333333333,,Elevated historical variability
ARV,Burundi,35,173316,10904.51370863684,,,,0.2571428571428571,,Elevated historical variability
ARV,"Congo, DRC",84,468182,13495.827255269438,148.29166666666666,195.7,44.31358528239066,0.25,14036.50015162411,Elevated historical variability
ARV,South Sudan,24,170533,11869.983744097754,113.0,127.2,17.349351572897472,0.16666666666666666,3199.0846632597927,Elevated historical variability
ARV,Mozambique,326,18934670,103295.01114560121,149.925,206.60000000000002,51.18863430539324,0.1656441717791411,610126.9231841306,Elevated historical variability
ARV,South Africa,581,22995781,65373.365402137926,130.39700374531836,264.0,98.16159892341166,0.153184165232358,1026111.7331421823,Elevated historical variability
HRDT,Nigeria,205,1007557,5095.346142881947,90.34782608695652,133.0,40.54935191348276,0.13170731707317074,28895.96888680491,Watch historical variability
ARV,Guatemala,8,55467,13052.956993258545,167.66666666666666,356.0,168.2648705662197,0.125,3240.4631174956426,Watch historical variability
ARV,Ghana,45,1296566,30501.99540603033,119.03125,171.0,51.72725267549823,0.1111111111111111,41998.13575017262,Watch historical variability
ARV,Zimbabwe,294,17230464,97508.73696928029,145.37878787878788,281.0,105.41066434905039,0.10204081632653061,796736.8892740596,Watch historical variability
ARV,Zambia,437,28235716,91538.07063262697,111.17142857142858,247.2,79.23067057436701,0.09610983981693363,1131934.1132892792,Watch historical variability
ARV,Cameroon,44,1769510,57950.50989064396,73.88888888888889,132.5,34.05187452593702,0.09090909090909091,46504.953150609894,Watch historical variability
ARV,Tanzania,313,11991770,50715.93686066917,108.9381443298969,165.8,53.84406777000247,0.08945686900958466,396303.49191148183,Watch historical variability
ARV,Dominican Republic,23,173275,14146.59751715065,46.09090909090909,97.0,74.16394615371345,0.08695652173913043,6720.599265592421,Watch historical variability
ARV,Côte d'Ivoire,608,11539045,33273.95945121247,131.41964285714286,227.0,89.94499203771208,0.07730263157894737,492871.87732104963,Watch historical variability
ARV,Uganda,545,11814417,41998.79862985776,87.47333333333333,150.29999999999998,48.24458055131899,0.06972477064220184,369583.21640774625,Standard historical variability
ARV,Guyana,93,131730,1682.8038747237938,82.8,142.80000000000004,45.162668949771636,0.06451612903225806,3987.0361109314786,Standard historical variability
HRDT,Kenya,100,558761,5383.609518940265,76.61538461538461,113.3,37.30681173456401,0.06,15370.777337026757,Standard historical variability
ARV,Ethiopia,107,2342725,34388.89528654188,87.65,223.4000000000001,87.83613631134548,0.056074766355140186,98885.72494574284,Standard historical variability
ARV,Rwanda,303,8611792,46153.939993105414,129.88343558282207,273.20000000000005,95.53981734980981,0.052805280528052806,379106.65895297687,Standard historical variability
ARV,Nigeria,706,32944280,78166.65283605139,117.7948717948718,233.00000000000017,88.68874594456713,0.05099150141643059,1397300.9526327895,Standard historical variability
ARV,Haiti,344,5129748,25955.677117469837,119.13846153846154,197.0,62.401562130958084,0.04941860465116279,182502.76112200852,Standard historical variability
ARV,Namibia,24,586694,19364.809057123195,70.57142857142857,98.0,22.13842564659669,0.041666666666666664,12432.563642633315,Standard historical variability
HRDT,Rwanda,74,243558,4097.512312812104,90.45762711864407,227.0,70.4031058371272,0.04054054054054054,9203.944391338053,Standard historical variability
