feature,importance,importance_std
rolling_volatility_30,0.013273314866112612,0.0133236585471949
rolling_volatility_7,0.009864573714989212,0.00511968329558258
rolling_skew_30,0.005382425361649718,0.002932542106556329
rolling_mean_14,0.00389735303170205,0.007937423072804626
macd,0.0035126192674668822,0.005534313289876665
momentum_7,0.001881348107109848,0.009072009923577542
momentum_30,0.001358110187750078,0.0050380162933887735
rolling_kurtosis_30,-7.694675284702913e-06,1.5389350569405825e-05
rolling_mean_30,-3.4626038781176983e-05,7.968726984151762e-05
drawdown,-0.0006386580486303584,0.001530176677670977
volume_zscore_30,-0.0007156048014773986,0.00455756727857404
return_lag_7,-0.0009810710987996352,0.0011774676129290972
open_close_spread,-0.0026508156355802117,0.013921169544490741
return_lag_3,-0.004516774392120654,0.011956349346577175
rsi_14,-0.006074946137273024,0.009854344606820036
rolling_volatility_14,-0.006609726069559896,0.006378528448778822
ma_ratio_14,-0.007325330871037245,0.012569979246914798
bollinger_position,-0.007763927362265338,0.012051514804028236
volume_change,-0.008544936903662686,0.006636059674839048
return_lag_1,-0.008706525084641448,0.01999653545302197
high_low_range,-0.012819329024315207,0.011731324246832268
return_lag_2,-0.020263927362265344,0.016625013725171958
volatility_regime,-0.020390889504462946,0.009211381240032806
ma_ratio_30,-0.028097106802092958,0.016891381347435227
ma_ratio_7,-0.028855032317636226,0.01470429092918749
rolling_mean_7,-0.03870806401969839,0.015360684770970804
