ts,session,venue,order_id,client_id,sleeve,instrument,side,qty,order_type,time_in_force,limit_price,reference_price,notional,reason,status,reject_reason,fill_price,fee
2026-12-10 02:00:00-05:00,overnight,crypto,crypto-1,20261210T020000-btc,btc,BTC-USD,sell,0.000245,limit,day,114313.99384,114543.08,28.006928490799996,above band: 8.78% vs 5.25%-8.75%,filled,,114508.717076,0.02805463568362
2026-12-10 02:30:00-05:00,overnight,crypto,crypto-2,20261210T023000-btc,btc,BTC-USD,sell,0.000419,limit,day,115245.81646,115476.77,48.28799709674,above band: 8.80% vs 5.25%-8.75%,filled,,115442.126969,0.048370251200011004
2026-12-10 03:00:00-05:00,overnight,crypto,crypto-3,20261210T030000-btc,btc,BTC-USD,sell,0.00042,limit,day,116029.68558,116262.21,48.73246794360001,above band: 8.80% vs 5.25%-8.75%,filled,,116227.33133700001,0.048815479161540005
2026-12-10 03:30:00-05:00,overnight,crypto,crypto-4,20261210T033000-btc,btc,BTC-USD,sell,0.000544,limit,day,116891.32884,117125.58,63.58888288896,above band: 8.82% vs 5.25%-8.75%,filled,,117090.442326,0.063697200625344
2026-12-10 05:30:00-05:00,pre,crypto,crypto-5,20261210T053000-btc,btc,BTC-USD,sell,0.000279,limit,day,117563.56168,117799.16,32.80023370872,above band: 8.78% vs 5.25%-8.75%,filled,,117763.820252,0.03285610585030801
2026-12-10 06:00:00-05:00,pre,crypto,crypto-6,20261210T060000-btc,btc,BTC-USD,sell,0.000391,limit,day,118331.79214,118568.93,46.267730726740005,above band: 8.80% vs 5.25%-8.75%,filled,,118533.359321,0.046346543494511
2026-12-10 07:30:00-05:00,pre,crypto,crypto-7,20261210T073000-btc,btc,BTC-USD,sell,0.000212,limit,day,118519.16664,118756.68,25.12606332768,above band: 8.78% vs 5.25%-8.75%,filled,,118721.052996,0.025168863235151998
2026-12-10 08:00:00-05:00,pre,crypto,crypto-8,20261210T080000-btc,btc,BTC-USD,sell,0.000303,limit,day,119243.64478,119482.61,36.13082436834,above band: 8.79% vs 5.25%-8.75%,filled,,119446.76521700001,0.036192369860751
2026-12-10 08:30:00-05:00,pre,crypto,crypto-9,20261210T083000-btc,btc,BTC-USD,sell,0.000324,limit,day,119586.15838,119825.81,38.74591531512,above band: 8.79% vs 5.25%-8.75%,filled,,119789.862257,0.038811915371268005
2026-12-10 09:30:00-05:00,regular,crypto,crypto-10,20261210T093000-btc,btc,BTC-USD,sell,0.00044,limit,day,120622.4716,120864.2,53.073887504000005,above band: 8.80% vs 5.25%-8.75%,filled,,120827.94074,0.05316429392560001
2026-12-11 01:30:00-05:00,overnight,crypto,crypto-11,20261211T013000-btc,btc,BTC-USD,sell,0.000244,limit,day,121260.4431,121503.45,29.5875481164,above band: 8.78% vs 5.25%-8.75%,filled,,121466.998965,0.029637947747459998
2026-12-14 22:30:00-05:00,overnight,crypto,crypto-12,20261214T223000-eth,eth,ETH-USD,sell,0.00593,limit,day,4411.16998,4420.01,26.1582379814,above band: 4.03% vs 2.00%-4.00%,filled,,4418.683997,0.026202796102210005
