ts,sleeve,action,detail
2026-11-02 09:30:00-05:00,us_large_cap,ok,in band
2026-11-02 09:30:00-05:00,intl_equity,ok,in band
2026-11-02 09:30:00-05:00,btc,ok,in band
2026-11-02 09:30:00-05:00,eth,ok,in band
2026-11-14 08:00:00-05:00,btc,hold,below band: 32.89% vs 33.00%-37.00%; crypto buys paused: BTC-USD down 17.1% from its 24h high
2026-11-15 00:30:00-05:00,eth,hold,below band: 13.49% vs 13.50%-16.50%; crypto buys paused: BTC-USD down 20.3% from its 24h high
2026-11-15 02:00:00-05:00,eth,ok,in band
2026-11-15 03:00:00-05:00,eth,hold,below band: 13.45% vs 13.50%-16.50%; crypto buys paused: BTC-USD down 15.7% from its 24h high
2026-11-15 04:00:00-05:00,btc,hold,below band: 32.26% vs 33.00%-37.00%; crypto buys paused: ETH-USD down 18.5% from its 24h high
2026-11-15 04:00:00-05:00,eth,hold,below band: 13.45% vs 13.50%-16.50%; crypto buys paused: ETH-USD down 18.5% from its 24h high
2026-11-15 06:00:00-05:00,eth,trade,buy 0.05714 ETH-USD limit 2770.53 in weekend: below band: 13.33% vs 13.50%-16.50%
2026-11-15 06:00:00-05:00,btc,trade,buy 0.009985 BTC-USD limit 79978.6 in weekend: below band: 32.13% vs 33.00%-37.00%
2026-11-15 06:30:00-05:00,btc,ok,in band
2026-11-15 06:30:00-05:00,eth,ok,in band
2026-11-25 06:30:00-05:00,btc,trade,sell 0.000925 BTC-USD limit 98862.8 in pre: above band: 37.09% vs 33.00%-37.00%
2026-11-25 07:00:00-05:00,btc,trade,sell 0.000557 BTC-USD limit 99255.6 in pre: above band: 37.05% vs 33.00%-37.00%
2026-11-25 07:30:00-05:00,btc,trade,sell 0.001504 BTC-USD limit 100035 in pre: above band: 37.15% vs 33.00%-37.00%
2026-11-25 08:00:00-05:00,btc,ok,in band
2026-11-25 14:30:00-05:00,eth,trade,sell 0.00669 ETH-USD limit 3763.24 in regular: above band: 16.52% vs 13.50%-16.50%
2026-11-25 15:00:00-05:00,eth,ok,in band
2026-11-25 15:30:00-05:00,eth,skip,trade $0.51 under $25 minimum (above band: 16.50% vs 13.50%-16.50%)
2026-11-25 16:00:00-05:00,eth,ok,in band
2026-12-03 04:00:00-05:00,btc,trade,sell 0.000555 BTC-USD limit 102538 in pre: above band: 37.05% vs 33.00%-37.00%
2026-12-03 04:30:00-05:00,btc,trade,sell 0.000907 BTC-USD limit 102882 in pre: above band: 37.09% vs 33.00%-37.00%
2026-12-03 05:00:00-05:00,btc,ok,in band
2026-12-03 07:30:00-05:00,btc,skip,trade $5.91 under $25 minimum (above band: 37.01% vs 33.00%-37.00%)
2026-12-03 08:00:00-05:00,btc,ok,in band
2026-12-03 08:30:00-05:00,btc,trade,sell 0.000624 BTC-USD limit 102698 in pre: above band: 37.06% vs 33.00%-37.00%
2026-12-03 09:00:00-05:00,btc,ok,in band
2026-12-04 14:30:00-05:00,btc,trade,sell 0.00077 BTC-USD limit 100864 in regular: above band: 37.08% vs 33.00%-37.00%
2026-12-04 15:00:00-05:00,btc,skip,trade $24.86 under $25 minimum (above band: 37.02% vs 33.00%-37.00%)
2026-12-04 15:30:00-05:00,btc,ok,in band
2026-12-04 19:30:00-05:00,btc,trade,sell 0.001002 BTC-USD limit 101118 in post: above band: 37.10% vs 33.00%-37.00%
2026-12-04 20:00:00-05:00,btc,trade,sell 0.001168 BTC-USD limit 101892 in weekend: above band: 37.12% vs 33.00%-37.00%
2026-12-04 20:30:00-05:00,btc,ok,in band
2026-12-04 21:00:00-05:00,btc,skip,trade $17.34 under $25 minimum (above band: 37.02% vs 33.00%-37.00%)
2026-12-04 21:30:00-05:00,btc,ok,in band
2026-12-04 22:30:00-05:00,btc,trade,sell 0.00039 BTC-USD limit 102163 in weekend: above band: 37.04% vs 33.00%-37.00%
2026-12-04 23:00:00-05:00,btc,ok,in band
2026-12-05 01:00:00-05:00,btc,trade,sell 0.001798 BTC-USD limit 103242 in weekend: above band: 37.18% vs 33.00%-37.00%
2026-12-05 01:30:00-05:00,btc,ok,in band
2026-12-05 08:00:00-05:00,btc,trade,sell 0.000727 BTC-USD limit 103322 in weekend: above band: 37.07% vs 33.00%-37.00%
2026-12-05 08:30:00-05:00,btc,trade,sell 0.000287 BTC-USD limit 103519 in weekend: above band: 37.03% vs 33.00%-37.00%
2026-12-05 09:00:00-05:00,btc,ok,in band
2026-12-05 09:30:00-05:00,btc,trade,sell 0.000441 BTC-USD limit 103720 in weekend: above band: 37.04% vs 33.00%-37.00%
2026-12-05 10:00:00-05:00,btc,skip,trade $16.65 under $25 minimum (above band: 37.02% vs 33.00%-37.00%)
2026-12-05 10:30:00-05:00,btc,ok,in band
2026-12-05 11:00:00-05:00,btc,skip,trade $12.02 under $25 minimum (above band: 37.01% vs 33.00%-37.00%)
2026-12-05 11:30:00-05:00,btc,trade,sell 0.00136 BTC-USD limit 104652 in weekend: above band: 37.14% vs 33.00%-37.00%
2026-12-05 12:00:00-05:00,btc,trade,sell 0.00122 BTC-USD limit 105366 in weekend: above band: 37.12% vs 33.00%-37.00%
2026-12-05 12:30:00-05:00,btc,skip,trade $24.07 under $25 minimum (above band: 37.02% vs 33.00%-37.00%)
2026-12-05 13:00:00-05:00,btc,trade,sell 0.000482 BTC-USD limit 105501 in weekend: above band: 37.05% vs 33.00%-37.00%
2026-12-05 13:30:00-05:00,btc,trade,sell 0.000326 BTC-USD limit 105644 in weekend: above band: 37.03% vs 33.00%-37.00%
2026-12-05 14:00:00-05:00,btc,ok,in band
