covariate,absolute_smd_before,absolute_smd_after_weighting
product_group_ARV,0.9653858734194085,0.3188104775164677
product_group_HRDT,0.93952444608115,0.3037016140244215
log_total_quantity,0.6735792284054375,0.2268608526042839
country_South Africa,0.6214296492014308,0.4617532255382016
country_Vietnam,0.5530194560397695,0.3991369753302151
country_Nigeria,0.368649490568755,0.18923003026770469
country_Zambia,0.30278875553960377,0.11480526230469529
log_total_value,0.2841097980294432,0.10682835150937144
scheduled_year_2007,0.28206433061515757,0.18344951141123966
country_Côte d'Ivoire,0.2599568812613303,0.11703650209036841
country_Mozambique,0.22865982615310879,0.10334650200372784
country_Uganda,0.21756519768635235,0.07136668043253495
country_Zimbabwe,0.18569811548322374,0.08304980221856982
country_Botswana,0.166488084196851,0.03653794847602509
scheduled_year_2006,0.16459652754911408,0.08897749736462875
country_Sudan,0.15009986153437843,0.07479307567928695
country_Haiti,0.14579001532111135,0.022510754253567227
scheduled_year_2011,0.13361685347770783,0.10185751958128117
country_Cameroon,0.1331199310202764,7.400751023015267e-05
scheduled_year_2015,0.12453170516722525,0.05856784170172938
country_Kenya,0.12119370372165988,0.04010234855138255
country_Namibia,0.11664865317885334,0.015760046822850243
scheduled_year_2008,0.10944273500116612,0.12225337422789662
product_group_ANTM,0.10315656524542868,0.07951268367266494
country_Mali,0.09160572248286891,0.0706105355505363
country_Malawi,0.08848716081237633,0.06824664010282555
product_group_ACT,0.08525644192090788,0.06575500379770463
country_South Sudan,0.08086994314331704,0.06673797035621938
country_Rwanda,0.07719615681361591,0.008056539759979912
scheduled_year_2014,0.07522711504446691,0.060318804665329434
product_group_MRDT,0.06683396094894474,0.051574023999180804
country_Ghana,0.06469222565426021,0.003834931882385628
scheduled_year_2013,0.06008703819825551,0.05462690376725842
country_Liberia,0.05786375623578448,0.044624662533347244
scheduled_year_2012,0.05043124609201876,0.014365792315530179
country_Libya,0.048252344065338085,0.0399279901204384
country_Lesotho,0.04723238228609064,0.03642983947309196
country_Lebanon,0.04178167620723305,0.03457520885466337
country_Dominican Republic,0.04160146965127252,0.020418392460113646
country_Guyana,0.04044507941327531,0.015385012399792525
country_Tanzania,0.036948630105168204,0.011388241124325849
country_Kazakhstan,0.033389028164708894,0.02575551425852836
country_Burkina Faso,0.033389028164708894,0.02575551425852835
country_Afghanistan,0.033389028164708894,0.02575551425852835
country_Kyrgyzstan,0.033389028164708894,0.025755514258528362
country_Guatemala,0.03249803464986281,0.015180209141540633
country_Burundi,0.03156169511655746,0.03540376886162972
"country_Congo, DRC",0.03031819482046487,0.025630041081913718
scheduled_year_2009,0.02977326107164784,0.011491951144653529
country_Belize,0.024115646544478432,0.019958030080815627
country_Guinea,0.023606318840875044,0.018210388873000475
country_Sierra Leone,0.022971588237186938,0.011369332154374233
scheduled_year_2010,0.022553948294204852,0.0054725671145016185
country_Swaziland,0.02039338714775184,0.02370348204308347
country_Togo,0.014608407283025858,0.0009363645232663521
country_Senegal,0.012942324087011752,0.002790408381734393
country_Angola,0.00768652317128274,0.007011926690949854
country_Pakistan,0.006437515493863248,0.00786538569736591
country_Ethiopia,0.0020452111756000283,0.03630543271244696
country_Benin,0.0014407201151394936,0.004382127400566789
