column,missing_rate
actual_lead_time_days,0.5088193456614509
scheduled_lead_time_days,0.5088193456614509
po_sent_date,0.5088193456614509
freight_cost_usd,0.11834992887624467
weight_kg,0.09359886201991466
shipment_mode,0.032147937411095305
insurance_usd,0.030298719772403983
managed_by,0.0
country,0.0
po_so_number,0.0
project_code,0.0
source_line_ids,0.0
source_line_count,0.0
shipment_id,0.0
vendor_inco_term,0.0
molecule_test_type,0.0
brand,0.0
manufacturing_site,0.0
fulfill_via,0.0
sub_classification,0.0
supplier,0.0
product,0.0
product_group,0.0
delivery_recorded_date,0.0
actual_delivery_date,0.0
scheduled_delivery_date,0.0
first_line_designation,0.0
dosage_form,0.0
pack_price_median,0.0
unit_price_median,0.0
total_quantity,0.0
delivery_delay_days,0.0
total_value_usd,0.0
late_gt_0_days,0.0
late_gt_3_days,0.0
late_gt_7_days,0.0
late_gt_14_days,0.0
severe_delay,0.0
prediction_date,0.0
