feature,importance_mean,importance_std
fulfill_via,0.041093295960128964,0.002821193747597098
log_insurance_usd,0.01956792070012293,0.0031511100998928457
supplier,0.01913412998868901,0.004908240574218953
vendor_inco_term,0.01672615196738548,0.002859207899952808
shipment_mode,0.01299298322492607,0.002688372175464465
brand,0.011161187719822455,0.0021888241006009328
freight_missing,0.010465453499605211,0.0018063857417353866
log_freight_cost_usd,0.010178373281126685,0.005217841299363106
manufacturing_site,0.007376579658769481,0.0014209373280679484
scheduled_month,0.006690806059338392,0.002124354806197092
peak_period,0.006008636132135325,0.0015035691289519018
log_pack_price_median,0.00590480893060635,0.001142549588823215
product_group,0.0050811242670576046,0.0016232761319512267
log_unit_price_median,0.00412578913008943,0.0020544737061959878
source_line_count,0.00305223780085305,0.000799401900758192
molecule_test_type,0.0029328190854035,0.004247473528993657
managed_by,0.0,0.0
first_line_designation,0.0,0.0
log_total_value_usd,-0.0003932631216304848,0.0004763130025905565
dosage_form,-0.0015589837546984113,0.0018823804561509138
scheduled_quarter,-0.003137119601883818,0.001985806312075135
scheduled_day_of_week,-0.005058458930660169,0.0030441324813271155
sub_classification,-0.006197248972006655,0.003420259337030495
weight_missing,-0.006238787019392331,0.0029849330508882783
log_weight_kg,-0.006247740751928323,0.0031495449266002546
log_total_quantity,-0.01112212192849461,0.005568556482519726
scheduled_lead_time_days,-0.012295022398113292,0.0074610622093421435
po_date_missing,-0.014357918167682435,0.003251460245112956
country,-0.022159340392684253,0.012766369620473785
