shipment_id,supplier,product,country,shipment_mode,scheduled_delivery_date,predicted_severe_delay_probability,risk_rank,review_flag,total_value_usd,top_prediction_contributors
DN-3311,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml","Congo, DRC",Air,2014-01-21,0.5,1,1,12361.05,country (+0.250); managed_by (+0.000); fulfill_via (+0.000)
DN-3432,SCMS from RDC,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Zambia,Truck,2014-01-24,0.5,2,1,3338884.2,molecule_test_type (+0.307); log_insurance_usd (+0.307); log_freight_cost_usd (+0.271)
ASN-24548,PHARMACY DIRECT,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",South Africa,Truck,2014-02-05,0.5,3,1,206791.05,country (+0.275); molecule_test_type (+0.250); managed_by (+0.000)
DN-3513,SCMS from RDC,"Abacavir/Lamivudine 60/30mg, tablets, 60 Tabs","Congo, DRC",Air,2014-03-26,0.5,4,1,20.0,log_total_quantity (+0.307); country (+0.250); sub_classification (+0.250)
DN-3590,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Ghana,Air,2014-04-07,0.5,5,1,343838.38,country (+0.324); log_freight_cost_usd (+0.259); scheduled_month (+0.250)
DN-3599,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Côte d'Ivoire,Truck,2014-04-30,0.5,6,1,773280.0,log_freight_cost_usd (+0.281); log_insurance_usd (+0.262); molecule_test_type (+0.251)
DN-3612,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Mozambique,Truck,2014-05-23,0.5,7,1,48732.0,country (+0.250); shipment_mode (+0.250); sub_classification (+0.250)
ASN-26372,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Ghana,Air,2014-06-12,0.5,8,1,23091.12,country (+0.324); sub_classification (+0.250); scheduled_quarter (+0.250)
ASN-26373,Aurobindo Pharma Limited,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Ghana,Air,2014-06-12,0.5,9,1,8647.21,country (+0.324); sub_classification (+0.250); molecule_test_type (+0.250)
ASN-25862,CIPLA LIMITED,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Ghana,Air,2014-06-17,0.5,10,1,284053.8,country (+0.250); managed_by (+0.000); fulfill_via (+0.000)
ASN-26603,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Ghana,Air,2014-06-23,0.5,11,1,51480.0,country (+0.307); sub_classification (+0.250); log_freight_cost_usd (+0.250)
ASN-26885,PHARMACY DIRECT,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",South Africa,Truck,2014-06-25,0.5,12,1,44.13,country (+0.281); log_total_quantity (+0.281); managed_by (+0.000)
ASN-26537,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Ghana,Air,2014-07-17,0.5,13,1,3451.86,country (+0.324); sub_classification (+0.250); dosage_form (+0.250)
ASN-27606,PHARMACY DIRECT,"Nevirapine 200mg, tablets, 60 Tabs",South Africa,Truck,2014-08-05,0.5,14,1,3179.82,country (+0.307); log_total_quantity (+0.281); log_weight_kg (+0.281)
ASN-27958,PHARMACY DIRECT,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",South Africa,Truck,2014-08-26,0.5,15,1,88.27,country (+0.281); log_total_quantity (+0.281); scheduled_lead_time_days (+0.250)
ASN-29122,PHARMACY DIRECT,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",South Africa,Truck,2014-10-29,0.5,16,1,88.27,country (+0.307); log_total_quantity (+0.307); scheduled_lead_time_days (+0.252)
ASN-30174,PHARMACY DIRECT,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",South Africa,Truck,2015-01-09,0.5,17,1,185776.9,country (+0.250); molecule_test_type (+0.250); managed_by (+0.000)
ASN-30228,PHARMACY DIRECT,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",South Africa,Truck,2015-01-14,0.5,18,1,63.78,country (+0.281); log_total_quantity (+0.253); managed_by (+0.000)
ASN-30448,PHARMACY DIRECT,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",South Africa,Truck,2015-01-29,0.5,19,1,31.89,country (+0.281); log_total_quantity (+0.264); managed_by (+0.000)
DN-4157,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Zimbabwe,Truck,2015-03-07,0.5,20,1,224474.4,country (+0.250); shipment_mode (+0.250); sub_classification (+0.250)
DN-3954,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml","Congo, DRC",Air,2015-04-14,0.5,21,1,26447.75,country (+0.250); sub_classification (+0.250); dosage_form (+0.250)
ASN-31854,PHARMACY DIRECT,"Didanosine 400mg, delayed-release capsules, 30 Caps",South Africa,Truck,2015-04-28,0.5,22,1,5616.08,country (+0.307); log_weight_kg (+0.281); scheduled_lead_time_days (+0.281)
ASN-32073,PHARMACY DIRECT,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",South Africa,Truck,2015-05-07,0.5,23,1,177172.11,country (+0.000); managed_by (+0.000); fulfill_via (+0.000)
ASN-33330,PHARMACY DIRECT,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",South Africa,Truck,2015-07-14,0.5,24,1,68.56,country (+0.307); log_total_quantity (+0.283); shipment_mode (+0.250)
ASN-33331,PHARMACY DIRECT,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",South Africa,Truck,2015-07-14,0.5,25,1,68.56,country (+0.307); log_total_quantity (+0.283); shipment_mode (+0.250)
ASN-33333,PHARMACY DIRECT,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",South Africa,Truck,2015-07-14,0.5,26,1,51.42,Not computed
ASN-33339,PHARMACY DIRECT,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",South Africa,Truck,2015-07-15,0.5,27,1,342.83,Not computed
ASN-33674,PHARMACY DIRECT,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",South Africa,Truck,2015-08-11,0.5,28,1,51.42,Not computed
DN-3360,SCMS from RDC,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Zambia,Truck,2014-01-24,0.25,29,1,5065890.300000001,Not computed
DN-3576,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Ghana,Truck,2014-03-20,0.25,30,1,750634.14,Not computed
DN-3588,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Zimbabwe,Truck,2014-05-06,0.25,31,1,5708800.0,Not computed
ASN-26374,Aurobindo Pharma Limited,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",Ghana,Air,2014-06-12,0.25,32,1,73967.4,Not computed
ASN-26148,CIPLA LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Zimbabwe,Air Charter,2014-06-14,0.25,33,1,188700.0,Not computed
DN-3628,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Mozambique,Truck,2014-06-14,0.25,34,1,6558618.4,Not computed
ASN-26882,PHARMACY DIRECT,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",South Africa,Truck,2014-06-25,0.25,35,1,10653.7,Not computed
DN-3674,SCMS from RDC,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Tanzania,Truck,2014-06-30,0.25,36,1,594500.0,Not computed
DN-3720,SCMS from RDC,"Efavirenz 200mg, scored tablets, 90 Tabs",Nigeria,Air Charter,2014-06-30,0.25,37,1,97966.2,Not computed
DN-3760,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 100 ml",Uganda,Truck,2014-06-30,0.25,38,1,58500.0,Not computed
