supplier,shipments,severe_delay_rate,average_delay_days,minimum_volume_eligible
ABBOTT LABORATORIES (PUERTO RICO),1,0.0,0.0,False
ABBOTT LOGISTICS B.V.,1,0.0,0.0,False
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),335,0.011940298507462687,0.3044776119402985,True
"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",4,0.0,0.0,False
"ACCESS BIO, INC.",1,0.0,0.0,False
ACCOUN NIGERIA LIMITED,3,0.0,-41.0,False
ACOUNS NIGERIA LTD,1,0.0,0.0,False
ACTION MEDEOR E.V.,1,0.0,0.0,False
AHN (PTY) LTD (AKA UCB (S.A.),1,0.0,0.0,False
AMSTELFARMA B.V.,5,0.0,0.0,False
ASPEN PHARMACARE,35,0.02857142857142857,1.0285714285714285,True
AUROBINDO PHARAM (SOUTH AFRICA),1,0.0,0.0,False
Abbott GmbH & Co. KG,21,0.047619047619047616,2.2857142857142856,True
Aurobindo Pharma Limited,541,0.11645101663585952,5.133086876155268,True
B&C GROUP S.A.,2,0.0,0.0,False
BIO-RAD LABORATORIES (FRANCE),28,0.07142857142857142,2.107142857142857,True
BIO-RAD LABORATORIES PTY LTD. (SOUTH AFRICA),1,0.0,0.0,False
BIOLYTICAL LABORATORIES INC.,5,0.0,0.0,False
BRISTOL-MYERS SQUIBB,55,0.0,0.0,True
BUNDI INTERNATIONAL DIAGNOSTICS LTD,2,0.0,0.0,False
CENTRAL PHARMACEUTICAL COMPANY NO. 1,1,0.0,-26.0,False
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",109,0.009174311926605505,-4.1192660550458715,True
CIPLA LIMITED,169,0.1242603550295858,4.946745562130178,True
EMCURE PHARMACEUTICALS LTD,40,0.05,1.425,True
ETHNOR DEL ISTMO S.A.,2,0.0,0.0,False
EY Laboratories,2,0.0,0.0,False
"GILEAD SCIENCES IRELAND, INC.",4,0.0,0.0,False
GLAXOSMITHKLINE EXPORT LIMITED,19,0.0,0.0,False
HETERO LABS LIMITED,199,0.0,-0.2914572864321608,True
HUMAN GMBH,3,0.0,0.0,False
Hoffmann-La Roche ltd Basel,22,0.0,0.0,True
IDA FOUNDATION,14,0.0,-16.428571428571427,False
IDIS LIMITED,4,0.0,0.0,False
IMRES B.V.,3,0.0,0.0,False
INTERNATIONAL HEALTHCARE DISTRIBUTORS,10,0.0,0.0,False
INVERNESS MEDICAL INNOVATIONS HONG KONG LTD,2,0.0,0.0,False
INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,1,0.0,0.0,False
JANSSEN SCIENCES IRELAND UC (FORMERLY JANSSEN R&D IRELAND),7,0.0,0.0,False
"JSI R&T INSTITUTE, INC.",8,0.125,-38.5,False
KAS MEDICS LIMITED,1,0.0,0.0,False
LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),15,0.0,0.0,False
MEDMIRA EAST AFRICA LTD.,1,0.0,0.0,False
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),61,0.01639344262295082,-1.2622950819672132,True
MICRO LABS LIMITED,25,0.0,0.0,True
MISSIONPHARMA A/S,3,0.0,0.0,False
"MSD LATIN AMERICA SERVICES, S. DE R.L. DE C.V.",2,0.0,0.0,False
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),250,0.0,-0.78,True
NOVARTIS PHARMA SERVICES AG,5,0.0,0.0,False
OMEGA DIAGNOSTICS LTD,1,0.0,0.0,False
Orasure Technologies Inc.,56,0.017857142857142856,0.5,True
"Orgenics, Ltd",667,0.05847076461769116,0.8950524737631185,True
PHARMACY DIRECT,58,0.0,0.0,True
PLURIPHARM S.A.,1,0.0,0.0,False
"PUETRO RICO PHARMACEUTICAL, INC.",1,0.0,0.0,False
Premier Medical Corporation Ltd.,12,0.0,-4.0,False
"RAININ INSTRUMENT, LLC.",1,0.0,0.0,False
RANBAXY Fine Chemicals LTD.,2,0.0,0.0,False
REINBOLD EXPORT IMPORT,12,0.0,-8.25,False
S. BUYS WHOLESALER,194,0.020618556701030927,-27.79381443298969,True
SCMS from RDC,3440,0.10523255813953489,-9.15203488372093,True
SETEMA LIMITED PLC,1,0.0,0.0,False
"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",70,0.02857142857142857,1.0571428571428572,True
STRIDES ARCOLAB LIMITED,85,0.023529411764705882,1.0705882352941176,True
SUB-SAHARAN BIOMEDICAL P.L.C.,1,0.0,0.0,False
SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),8,0.0,0.375,False
SWORDS LABORATORIES,3,0.0,0.0,False
SYSMEX AMERICA INC,1,0.0,0.0,False
"Standard Diagnostics, Inc.",95,0.010526315789473684,0.2631578947368421,True
THE MEDICAL EXPORT GROUP BV,1,0.0,0.0,False
TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,3,0.0,0.0,False
"Trinity Biotech, Plc",285,0.0035087719298245615,0.10526315789473684,True
WAGENIA,1,0.0,0.0,False
ZEPHYR BIOMEDICALS,5,0.0,0.0,False
