supplier,shipment_count,severe_delay_rate,average_delay_days,p90_delay_days,average_predicted_risk,high_risk_shipment_count,total_represented_shipment_value_usd,minimum_volume_eligible,performance_priority_score
PHARMACY DIRECT,58,0.0,0.0,0.0,0.2338541313948087,32,873335.6599999999,True,0.9535489771743806
SCMS from RDC,620,0.23709677419354838,-10.35483870967742,20.0,0.14451495282727125,215,341276125.3,True,0.9294235079221801
"Orgenics, Ltd",141,0.07092198581560284,0.9219858156028369,5.0,0.0927771066114942,16,45783930.85,True,0.45978729527119977
Aurobindo Pharma Limited,96,0.0,0.010416666666666666,0.0,0.10026821998613572,14,7115766.37,True,0.45869812676556737
S. BUYS WHOLESALER,29,0.0,0.0,0.0,0.12468789142383738,10,878525.36,True,0.4240881298357308
STRIDES ARCOLAB LIMITED,16,0.0,0.8125,3.0,0.08101611023108735,2,2489781.79,False,0.22953592459024602
CIPLA LIMITED,31,0.0,0.0,0.0,0.0641149393191304,2,2621323.4299999997,True,0.2222054471041361
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),104,0.0,0.0,0.0,0.0338211722042492,3,7760503.59,True,0.15740239443442547
"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",1,0.0,0.0,0.0,0.1926605504587156,1,148250.8,False,0.1335421173555858
"RAININ INSTRUMENT, LLC.",1,0.0,0.0,0.0,0.1926605504587156,1,46.9,False,0.1335421173555858
ACOUNS NIGERIA LTD,1,0.0,0.0,0.0,0.15447154471544716,0,407642.25,False,0.10707151569625172
EMCURE PHARMACEUTICALS LTD,23,0.0,0.0,0.0,0.03329940380980079,0,2772751.0,True,0.10582729782604038
HETERO LABS LIMITED,110,0.0,-0.5272727272727272,0.0,0.01677405439962558,0,22568994.89,True,0.07899791579349269
Orasure Technologies Inc.,6,0.0,0.0,0.0,0.03229282794500186,0,371975.0,False,0.06283894163987615
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",24,0.0,0.0,0.0,0.019230769230769232,0,1220470.7,True,0.06190145817054232
"Standard Diagnostics, Inc.",10,0.0,0.0,0.0,0.024677923702313947,0,341325.0,False,0.05917507658825748
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),88,0.0,-1.5568181818181819,0.0,0.00833487827125155,0,18415125.82,True,0.037412237745629844
"Trinity Biotech, Plc",44,0.0,0.0,0.0,0.008391608391608392,0,4773312.0,True,0.03194402089317751
BIO-RAD LABORATORIES (FRANCE),6,0.0,0.0,0.0,0.007692307692307693,0,368333.85,False,0.014968539608117795
MICRO LABS LIMITED,9,0.0,0.0,0.0,0.005128205128205128,0,605782.64,False,0.011808128682020748
IMRES B.V.,2,0.0,0.0,0.0,0.0,0,41082.35,False,0.0
ETHNOR DEL ISTMO S.A.,1,0.0,0.0,0.0,0.0,0,1465.2,False,0.0
AMSTELFARMA B.V.,3,0.0,0.0,0.0,0.0,0,45814.0,False,0.0
ASPEN PHARMACARE,2,0.0,0.0,0.0,0.0,0,83982.6,False,0.0
B&C GROUP S.A.,2,0.0,0.0,0.0,0.0,0,23400.0,False,0.0
LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),4,0.0,0.0,0.0,0.0,0,32055.4,False,0.0
JANSSEN SCIENCES IRELAND UC (FORMERLY JANSSEN R&D IRELAND),7,0.0,0.0,0.0,0.0,0,84474.0,False,0.0
INVERNESS MEDICAL INNOVATIONS HONG KONG LTD,1,0.0,0.0,0.0,0.0,0,358720.0,False,0.0
"MSD LATIN AMERICA SERVICES, S. DE R.L. DE C.V.",2,0.0,0.0,0.0,0.0,0,29323.2,False,0.0
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),8,0.0,0.0,0.0,0.0,0,185980.5,False,0.0
"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",25,0.08,3.92,0.0,0.0,0,2001846.0,True,0.0
SWORDS LABORATORIES,3,0.0,0.0,0.0,0.0,0,67266.72,False,0.0
WAGENIA,1,0.0,0.0,0.0,0.0,0,306750.0,False,0.0
