window_start,campaign,quality_risk_score,recommended_action,impressions,clicks,expected_clicks,ctr,expected_ctr,conversions,expected_conversions,conversion_rate,expected_conversion_rate,click_deviation_z,conversion_deviation_z,volume_change_ratio,repeat_event_share,top_source_share,total_cost_units,history_windows,evidence_summary,data_period
64800,2946551,0.994799003142269,review_traffic_quality,83,60,49.05758370710346,0.7228915662650602,0.5910552253867887,2,7.581269138299307,0.024096385542168676,0.09134059202770249,2.3843228043281566,-1.9871366151555436,1.828193832599119,0.3253012048192771,0.4457831325301205,0.021199913006005,20,clicks were higher than the expected range,test
72000,1869939,0.994799003142269,review_traffic_quality,13,12,8.669083722990006,0.9230769230769231,0.6668525940761544,0,2.5514332513655384,0.0,0.19626409625888758,1.6892579319418224,-1.4607839541759953,1.5950920245398772,0.8461538461538461,0.46153846153846156,0.0145757533386443,20,activity was concentrated among returning user IDs,test
52200,12843317,0.9942572326362553,review_traffic_quality,28,13,17.792638902391854,0.4642857142857143,0.6354513893711377,0,1.8523323101260112,0.0,0.06615472536164325,-1.7516269700334235,-1.1211252703163632,1.4224598930481283,0.5,0.7857142857142857,0.0352681661618936,19,activity was concentrated among returning user IDs,test
70200,5044698,0.9941488785350525,review_traffic_quality,117,52,39.041946503658686,0.4444444444444444,0.33369185045862126,2,4.244525051110996,0.017094017094017096,0.036277991889837574,2.493133791059349,-0.9948152534212505,1.4857142857142858,0.05128205128205128,0.5982905982905983,0.0203903933811553,20,clicks were higher than the expected range,test
61200,83677,0.9929569834218225,review_traffic_quality,64,27,20.80837391337051,0.421875,0.3251308423964142,0,2.440803914287171,0.0,0.03813756116073705,1.5963881939757083,-1.3340081503093526,1.8443804034582132,0.15625,0.5625,0.0239675434997592,20,several moderate departures combined into an unusual quality profile,test
52200,30535894,0.9919817965109979,review_traffic_quality,77,48,36.32180461642417,0.6233766233766234,0.4717117482652489,4,5.873472913248827,0.05194805194805195,0.07627886900323153,2.5991118721909676,-0.7390870775242588,1.305084745762712,0.025974025974025976,0.7272727272727273,0.0223498795583218,20,clicks were higher than the expected range,test
52200,12843316,0.9919817965109979,review_traffic_quality,28,20,14.99091062483074,0.7142857142857143,0.5353896651725264,1,3.630392302331857,0.03571428571428571,0.12965686794042347,1.7748748862902646,-1.2897044493307834,1.8666666666666667,0.25,0.6785714285714286,0.0065574389069642,1,the campaign had limited historical context,test
64800,17686799,0.9913316719037816,review_traffic_quality,486,123,153.13372737272647,0.25308641975308643,0.3150899740179557,9,14.076574330711926,0.018518518518518517,0.028964144713399025,-2.9284653813387105,-1.3254782062790462,1.1031664964249233,0.18930041152263374,0.6111111111111112,0.0921616057142933,20,clicks were lower than the expected range; the window carried relatively high transformed cost exposure,test
70200,2576437,0.9907899013977679,review_traffic_quality,174,85,63.403843769906416,0.4885057471264368,0.3643899067236001,1,8.072828267318414,0.005747126436781609,0.04639556475470353,3.3604759200649266,-2.3981497606907545,1.4745762711864407,0.11494252873563218,0.5114942528735632,0.0109793169131574,20,clicks were higher than the expected range; conversion-linked impressions fell below expectation,test
68400,17686799,0.9904648390941597,review_traffic_quality,486,113,149.4682236892524,0.23251028806584362,0.3075477853688321,6,13.420639470807986,0.012345679012345678,0.027614484507835362,-3.567445037198012,-1.9797147660349403,1.1034169599273471,0.14814814814814814,0.5679012345679012,0.0758082989243813,20,clicks were lower than the expected range; the window carried relatively high transformed cost exposure,test
68400,15654890,0.9900314226893487,review_traffic_quality,117,28,38.10717111213211,0.23931623931623933,0.3257023171977103,0,2.528298162062128,0.0,0.02160938600053101,-1.9561851635629088,-1.3565457204656088,1.6931982633863967,0.05982905982905983,0.5128205128205128,0.0114829242815528,20,several moderate departures combined into an unusual quality profile,test
