Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,1,2024-01-01,6545,545,1,1,a,1
2,1,2024-01-01,5123,427,1,0,a,1
3,1,2024-01-01,7466,622,1,1,a,1
4,1,2024-01-01,6320,527,1,0,a,1
5,1,2024-01-01,7819,652,1,1,a,1
6,1,2024-01-01,6756,563,1,0,a,1
1,2,2024-01-02,4534,378,1,0,0,1
2,2,2024-01-02,4874,406,1,0,0,1
3,2,2024-01-02,5348,446,1,0,0,1
4,2,2024-01-02,5618,468,1,0,0,1
5,2,2024-01-02,6350,529,1,0,0,1
6,2,2024-01-02,6751,563,1,0,0,1
1,3,2024-01-03,4694,391,1,0,0,0
2,3,2024-01-03,5305,442,1,0,0,0
3,3,2024-01-03,5606,467,1,0,0,0
4,3,2024-01-03,5787,482,1,0,0,0
5,3,2024-01-03,6428,536,1,0,0,0
6,3,2024-01-03,6609,551,1,0,0,0
1,4,2024-01-04,5010,418,1,0,0,0
2,4,2024-01-04,5263,439,1,0,0,0
3,4,2024-01-04,5659,472,1,0,0,0
4,4,2024-01-04,5990,499,1,0,0,0
5,4,2024-01-04,6752,563,1,0,0,0
6,4,2024-01-04,6924,577,1,0,0,0
1,5,2024-01-05,6895,575,1,1,0,0
2,5,2024-01-05,5729,477,1,0,0,0
3,5,2024-01-05,7908,659,1,1,0,0
4,5,2024-01-05,6698,558,1,0,0,0
5,5,2024-01-05,8726,727,1,1,0,0
6,5,2024-01-05,7550,629,1,0,0,0
1,6,2024-01-06,5427,452,1,0,0,0
2,6,2024-01-06,5388,449,1,0,0,0
3,6,2024-01-06,5789,482,1,0,0,0
4,6,2024-01-06,6155,513,1,0,0,0
5,6,2024-01-06,6832,569,1,0,0,0
6,6,2024-01-06,7345,612,1,0,0,0
1,7,2024-01-07,0,0,0,0,0,0
2,7,2024-01-07,0,0,0,0,0,0
3,7,2024-01-07,5180,432,1,0,0,0
4,7,2024-01-07,0,0,0,0,0,0
5,7,2024-01-07,0,0,0,0,0,0
6,7,2024-01-07,6309,526,1,0,0,0
1,1,2024-01-08,5130,428,1,0,0,0
2,1,2024-01-08,7416,618,1,1,0,0
3,1,2024-01-08,6252,521,1,0,0,0
4,1,2024-01-08,8236,686,1,1,0,0
5,1,2024-01-08,6839,570,1,0,0,0
